               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.015695,           0.0089129,          0.00065337,             0.99633,             0.99921,              0.9948,             0.82614,            0.011246,            0.005622,          0.00018356,            0.002855,            0.002855,            0.002855
                  72,            0.015483,           0.0090549,          0.00097379,             0.99803,             0.99918,              0.9948,             0.83078,            0.011279,           0.0056168,          0.00018069,           0.0027419,           0.0027419,           0.0027419
                  73,             0.01541,           0.0087712,          0.00095326,             0.99886,             0.99885,             0.99497,             0.83519,            0.011008,           0.0055061,          0.00016001,           0.0026316,           0.0026316,           0.0026316
                  74,            0.015396,           0.0088016,          0.00076049,             0.99929,             0.99921,             0.99496,             0.83209,            0.011011,           0.0055429,          0.00016149,           0.0025241,           0.0025241,           0.0025241
                  75,            0.015408,           0.0089681,           0.0010606,             0.99891,             0.99921,             0.99499,             0.83138,            0.010927,           0.0054987,          0.00013729,           0.0024195,           0.0024195,           0.0024195
                  76,            0.015054,           0.0086508,          0.00085258,             0.99901,             0.99921,             0.99499,              0.8348,            0.011034,           0.0055054,          0.00014011,            0.002318,            0.002318,            0.002318
                  77,            0.014725,           0.0086125,          0.00074092,             0.99894,             0.99921,               0.995,             0.83502,            0.010843,            0.005492,          0.00013171,           0.0022196,           0.0022196,           0.0022196
                  78,            0.014855,           0.0086502,          0.00066427,             0.99906,             0.99921,             0.99498,             0.83793,            0.010853,           0.0054376,           0.0001329,           0.0021245,           0.0021245,           0.0021245
                  79,            0.015048,           0.0086582,          0.00074056,             0.99874,             0.99921,             0.99481,             0.83797,            0.010723,           0.0054031,          0.00017917,           0.0020327,           0.0020327,           0.0020327
                  80,            0.015071,           0.0088367,          0.00073359,             0.99838,             0.99865,             0.99479,              0.8407,            0.010696,           0.0053934,          0.00018494,           0.0019443,           0.0019443,           0.0019443
                  81,            0.015276,           0.0089278,          0.00049433,             0.99809,             0.99909,             0.99479,             0.84156,            0.010622,           0.0053609,          0.00017106,           0.0018594,           0.0018594,           0.0018594
                  82,            0.014841,           0.0087654,          0.00056889,             0.99922,             0.99865,              0.9949,             0.84317,            0.010512,           0.0053137,          0.00015905,           0.0017781,           0.0017781,           0.0017781
                  83,            0.014952,           0.0085794,           0.0005092,             0.99923,             0.99809,             0.99473,             0.84374,            0.010499,           0.0052909,          0.00016055,           0.0017005,           0.0017005,           0.0017005
                  84,              0.0144,           0.0083356,          0.00054319,             0.99924,             0.99809,             0.99475,             0.84284,            0.010491,           0.0053258,          0.00015228,           0.0016267,           0.0016267,           0.0016267
                  85,            0.014707,           0.0086796,          0.00068349,             0.99897,             0.99865,             0.99478,             0.84383,            0.010395,           0.0053257,          0.00016024,           0.0015566,           0.0015566,           0.0015566
                  86,            0.014629,           0.0087313,          0.00038141,             0.99772,             0.99921,             0.99465,              0.8446,            0.010461,            0.005315,          0.00016443,           0.0014905,           0.0014905,           0.0014905
                  87,            0.014669,           0.0084765,          0.00082948,             0.99899,             0.99865,             0.99466,             0.84723,            0.010299,           0.0052489,          0.00016505,           0.0014283,           0.0014283,           0.0014283
                  88,            0.014141,           0.0083579,          0.00074113,             0.99943,             0.99873,             0.99497,             0.84829,            0.010164,           0.0051959,          0.00014123,           0.0013701,           0.0013701,           0.0013701
                  89,            0.014377,           0.0085047,          0.00053198,              0.9985,             0.99864,             0.99495,             0.85111,            0.010187,           0.0051916,           0.0001441,            0.001316,            0.001316,            0.001316
                  90,            0.014554,           0.0087396,          0.00057532,             0.99887,             0.99865,             0.99494,             0.84951,            0.010177,           0.0052031,          0.00014594,            0.001266,            0.001266,            0.001266
                  91,            0.014153,            0.008207,          0.00067658,             0.99895,             0.99864,             0.99498,             0.85522,            0.010021,            0.005187,          0.00012523,           0.0012202,           0.0012202,           0.0012202
                  92,             0.01376,           0.0081212,          0.00074781,             0.99791,             0.99944,               0.995,              0.8509,            0.010113,           0.0051663,          0.00011682,           0.0011787,           0.0011787,           0.0011787
                  93,            0.014321,           0.0085928,          0.00043114,             0.99853,             0.99921,               0.995,             0.85042,            0.010067,           0.0051613,          9.7327e-05,           0.0011414,           0.0011414,           0.0011414
                  94,            0.014258,           0.0081647,          0.00063597,             0.99798,             0.99921,               0.995,             0.85422,            0.010042,           0.0051167,          9.4628e-05,           0.0011084,           0.0011084,           0.0011084
                  95,            0.013838,           0.0080483,          0.00063481,             0.99846,             0.99921,             0.99499,             0.85267,            0.010088,             0.00511,          0.00010211,           0.0010797,           0.0010797,           0.0010797
                  96,            0.013766,           0.0085021,          0.00052848,             0.99916,             0.99865,             0.99499,             0.85291,           0.0099188,           0.0050967,          9.9986e-05,           0.0010554,           0.0010554,           0.0010554
                  97,            0.014125,           0.0082705,          0.00082778,             0.99894,             0.99865,               0.995,             0.85366,           0.0099074,           0.0050959,          8.6936e-05,           0.0010355,           0.0010355,           0.0010355
                  98,            0.013891,           0.0082386,          0.00062157,             0.99843,             0.99862,               0.995,             0.85469,            0.009866,           0.0050765,          9.6092e-05,             0.00102,             0.00102,             0.00102
                  99,            0.014355,           0.0084419,          0.00056726,             0.99909,             0.99943,               0.995,             0.85419,           0.0098258,           0.0050649,           7.869e-05,           0.0010089,           0.0010089,           0.0010089
